"Date","Name","dividends","GewinnProz","bestPerformance","worstPerformance","kgv","kuv","kbv","EKQuote","FKQuote"
"2018-10-01","Mercedes-Benz Group AG","3.25","-11.780247598756427","1.5356188998264297","-27.493724996862866","5.5772358739837395","0.3572684135147451","0.9171123161764705","25.05","74.45"
"2019-07-15","Mercedes-Benz Group AG","1.8","-15.111782029234744","3.8972594574088415","-21.828261530104577","8.277580071174377","0.2973664024546152","0.7695616211745244","22.96","76.55"
"2019-08-28","Mercedes-Benz Group AG","1.8","7.133434497857115","2.8990945694324033","-29.683019226386453","7.420818861209964","0.26658784198414726","0.6899090488006617","22.96","76.55"
"2019-10-01","Mercedes-Benz Group AG","1.8","7.483666390265337","11.43597856984897","-23.849266163391235","8.036477046263345","0.2887049411915111","0.7471464185277088","22.96","76.55"
"2020-03-31","Mercedes-Benz Group AG","1.8","182.7398328488372","26.007326007326004","-53.59973101332438","12.396396396396396","0.1704341363720815","0.4799441925357516","20.28","79.22"
"2020-07-15","Mercedes-Benz Group AG","1.35","97.74476512986908","72.5732554945055","-30.100147629827433","16.977477027027025","0.23341796618566918","0.6573072724101848","20.28","79.22"
"2020-10-01","Mercedes-Benz Group AG","1.35","68.40304777843723","114.03387820512822","-13.306749380814143","21.056305855855854","0.28949649470489874","0.8152249564004185","20.28","79.22"
"2020-12-28","Mercedes-Benz Group AG","1.35","20.971859472400357","168.54396520146523","-0.20418240598945037","26.418919819819816","0.36322537932742927","1.0228462155563307","20.28","79.22"
"2016-03-31","Volkswagen (VW) vz. Aktie","0.17","22.27984662100755","21.102205271738804","-55.825434705672606","-35.39556898734177","0.2628795666071261","0.6367051744748677","19.83","80.12"
"2016-12-28","Volkswagen (VW) vz. Aktie","2.06","24.128837885995402","45.31915531914894","-1.5850122135804279","-43.227850000000004","0.3210491821002162","0.777594387203279","19.83","80.12"
"2017-08-28","Volkswagen (VW) vz. Aktie","3.96","15.651493474858825","12.544174360711335","-17.21896883244842","12.41715419103314","0.2939479984310468","0.6890211032990806","19.57","80.38"
"2017-12-28","Volkswagen (VW) vz. Aktie","3.96","-14.698508656716422","33.62584975868928","-5.951715689442483","16.325536062378166","0.38647008606169675","0.905895078420768","19.57","80.38"
