"Date","Name","dividends","GewinnProz","bestPerformance","worstPerformance","kgv","kuv","kbv","EKQuote","FKQuote"
"2016-07-15","Mercedes-Benz Group AG","0","8.408974283421372","12.353276652813605","-31.370477635860883","7.41931372299873","0.41793714837878465","1.1664002996404315","24.66","74.85"
"2017-08-28","Mercedes-Benz Group AG","0","7.6736669572320855","4.402093027456688","-15.007551420910293","7.766625094102886","0.4320815440457909","1.142698947757061","23.85","75.66"
"2018-08-28","Mercedes-Benz Group AG","0","-3.463589759566426","3.473624333762193","-25.617654231268226","5.7215446138211385","0.36651259032615063","0.9408422292780748","25.05","74.45"
"2018-10-01","Mercedes-Benz Group AG","0","-4.209185418928837","1.5356188998264297","-27.493724996862866","5.5772358739837395","0.3572684135147451","0.9171123161764705","25.05","74.45"
"2018-12-28","Mercedes-Benz Group AG","0","13.67893487257679","1.413739783521084","-39.34469707108742","4.6656504065040645","0.2988737712388516","0.7672125668449197","25.05","74.45"
"2019-07-15","Mercedes-Benz Group AG","0","-12.876184436801388","3.8972594574088415","-21.828261530104577","8.277580071174377","0.2973664024546152","0.7695616211745244","22.96","76.55"
"2019-10-01","Mercedes-Benz Group AG","0","16.683272076092734","11.43597856984897","-23.849266163391235","8.036477046263345","0.2887049411915111","0.7471464185277088","22.96","76.55"
"2020-03-31","Mercedes-Benz Group AG","0.9","17.859738372093027","26.007326007326004","-53.59973101332438","12.396396396396396","0.1704341363720815","0.4799441925357516","20.28","79.22"
"2020-08-28","Mercedes-Benz Group AG","0","6.984605713978412","96.33700091575092","-20.474772643723014","19.315315765765764","0.2655601721682046","0.7478200383676317","20.28","79.22"
"2020-12-28","Mercedes-Benz Group AG","0","-1.8073349767319655","168.54396520146523","-0.20418240598945037","26.418919819819816","0.36322537932742927","1.0228462155563307","20.28","79.22"
"2016-07-15","Volkswagen (VW) vz. Aktie","0","8.7817441449549","25.757904658316335","-42.185164027431476","-36.75632974683544","0.2729858089686942","0.6611829111402061","19.83","80.12"
"2017-08-28","Volkswagen (VW) vz. Aktie","0","8.594979456907707","12.544174360711335","-17.21896883244842","12.41715419103314","0.2939479984310468","0.6890211032990806","19.57","80.38"
"2018-08-28","Volkswagen (VW) vz. Aktie","0","5.733017654728075","14.38373138226936","-23.93633687002652","6.330243046357617","0.3115805137231893","0.6603113429124068","21.87","78.08"
"2018-10-01","Volkswagen (VW) vz. Aktie","0","-0.6295127868852396","12.06642986380908","-19.09814323607427","6.732891832229581","0.3313992654888411","0.7023118725246386","21.87","78.08"
"2018-12-28","Volkswagen (VW) vz. Aktie","0","7.788660492206461","3.904264111539213","-26.302388328912475","6.133333245033112","0.30188842818958206","0.6397715667311412","21.87","78.08"
"2019-07-15","Volkswagen (VW) vz. Aktie","0","-10.402070889793864","15.33283504860512","-5.479957125658674","6.536667952522255","0.32775037621152864","0.6600179643025297","21.59","78.37"
"2019-10-01","Volkswagen (VW) vz. Aktie","0","12.288682465110218","15.033662267023097","-5.725141631268482","6.519711869436202","0.32690019341948645","0.6583058810940376","21.59","78.37"
"2020-03-31","Volkswagen (VW) vz. Aktie","0","20.01123717750794","22.52293540789916","-42.410525174417316","4.013523516153268","0.21200094451940632","0.4397974560573004","21.08","78.56"
"2020-08-28","Volkswagen (VW) vz. Aktie","0","-0.9461059075084344","60.00001009174347","-24.79516979743058","5.2411722013523665","0.27684737677593463","0.5743218375663771","21.08","78.56"
"2020-12-28","Volkswagen (VW) vz. Aktie","0","4.33360187004458","75.18348653154199","-17.658477950442474","5.7385422614575505","0.303119285260735","0.6288230971884905","21.08","78.56"
"2016-07-15","BMW Vz.","0","8.284108275048418","10.82611552850019","-21.04599422926261","6.458763092783506","0.44622508547008544","0.9675675984555985","23.35","76.38"
"2017-08-28","BMW Vz.","0","6.454382499705591","9.730490441867756","-11.230827877181238","6.7014353110047855","0.4884564344005022","0.9768447342725625","23.62","76.07"
"2018-08-28","BMW Vz.","0","-7.51366151012274","8.685967592753308","-11.27273090909091","5.57926806402439","0.487447539455284","0.8895369668246444","26.59","73.05"
"2018-10-01","BMW Vz.","0","-1.6837495600110048","1.410549410855233","-17.212117575757567","5.205792911585366","0.45481789305453824","0.829991529955037","26.59","73.05"
"2018-12-28","BMW Vz.","0","4.669890649593903","2.3064200608497565","-24.727275151515148","4.733231554878049","0.4135313178397816","0.7546481711021995","26.59","73.05"
"2019-07-15","BMW Vz.","0","-15.375115079431065","7.088846612898059","-23.134322515644058","5.235674861367837","0.382150580140313","0.6477246970043449","27.54","72.2"
"2019-10-01","BMW Vz.","0","11.287130693069306","6.2263334828285055","-26.652140207760066","4.66728280961183","0.34066378845116024","0.5774068145437915","27.54","72.2"
"2020-03-31","BMW Vz.","0","10.367724719101142","20.492307692307676","-42.28444929357257","5.242302543507362","0.24730028418061256","0.43491781430475335","24.55","75.21"
"2020-08-28","BMW Vz.","0","1.118760757314981","43.01538461538461","-21.684917327208673","6.222222222222222","0.29352699715819386","0.516215015548645","24.55","75.21"
"2020-12-28","BMW Vz.","0","-3.7702028048437572","71.38461846153845","-3.2986060173127107","7.456492771084338","0.3517524534259552","0.6186139604620169","24.55","75.21"
"2016-07-15","Allianz","0","5.312502343750003","7.382553038151496","-23.809523809523814","8.79120879120879","0.5580503117234163","0.9263950206267643","7.41","92.25"
"2017-08-28","Allianz","0","3.0328093840812995","40.363784992967155","-3.073222776914286","11.978203830911493","0.7929602361171841","1.230743169324737","7.59","92.07"
